CODMUNRES,municipio,uf,REG,deaths_total,live_births,nmr,idhm,expA,SMR_A,SMR_A_lo,SMR_A_hi,SMR_A_eb,expB,SMR_B,sig_excess,sig_deficit,excess_deaths,illdef_share,exp_prenatal,exp_delivery,exp_newborn,exp_malformation
110029,Santa Luzia D'Oeste,RO,North,7,1042,6.717850287907869,0.67,8.884272691306148,0.7879091787502163,0.315662382488333,1.6234601371455266,0.97990721882946,9.013593049803713,0.776604841301598,False,False,0.0,0.0,2.077663171131234,0.6604339358076079,3.635645462622759,1.9240418982800456
110030,Vilhena,RO,North,124,16605,7.467630231857874,0.731,133.22296094977105,0.9307704851774885,0.7741542592952443,1.1097589772064234,0.957715587618326,147.76778508398397,0.8391544877628401,False,False,0.0,0.046153846153846156,36.62364434279594,9.277876403313735,50.51556493400088,29.819499315305595
110032,São Miguel do Guaporé,RO,North,35,3867,9.050943884147918,0.646,34.666183125000856,1.009629467247532,0.7031408789048107,1.4041929313463557,1.0027920330982119,35.15632329723181,0.9955534799270629,False,False,0.3338168749991439,0.05405405405405406,8.302638631329268,2.7025964505989557,14.128957780690303,7.0777323565969255
110033,Nova Mamoré,RO,North,42,4906,8.560945780676722,0.587,47.6855902585789,0.8807692171209723,0.6347141142924593,1.1905743105245543,0.9571157473672689,50.38113851685222,0.8336453132346587,False,False,0.0,0.045454545454545456,10.756467185946944,3.692499856215801,20.09878161316325,9.110462082916046
110034,Alvorada D'Oeste,RO,North,10,2059,4.856726566294317,0.643,18.13052319378776,0.5515560633918385,0.26405470277426,1.0143920509810238,0.9210819144334376,18.03441496755633,0.5544953921704622,False,False,0.0,0.16666666666666666,4.275082677924769,1.3568011442549186,7.418825341147396,3.795119134852249
110037,Alto Alegre dos Parecis,RO,North,9,1738,5.178365937859608,0.592,16.71454965975996,0.5384530354214312,0.2457071896518126,1.0222100528229714,0.9240760193968816,17.031121850030278,0.5284443432000928,False,False,0.0,0.25,3.6921417972912107,1.338792547226814,7.105173342848126,3.2297716980635744
110040,Alto Paraíso,RO,North,30,2435,12.320328542094456,0.625,22.132560320705124,1.3554690268678424,0.9143514712302375,1.9350843880953619,1.0735090085695151,21.569827879201,1.3908316824784637,False,False,7.8674396792948755,0.11764705882352941,5.058316258877218,1.5396901533136442,9.193273527103369,4.55312998816568
110045,Buritis,RO,North,60,6154,9.749756256093598,0.616,56.89703412079161,1.0545365136717115,0.8046774356522194,1.357420912091805,1.0218840277888501,56.65146673302638,1.0591076182149668,False,False,3.1029658792083907,0.07692307692307693,13.426701750383968,4.244971159954867,23.388326748622234,11.354570173353487
110050,Novo Horizonte do Oeste,RO,North,4,1002,3.992015968063872,0.634,9.166944750023198,0.43635039907815276,0.11739466497555051,1.1171391363242187,0.945068303081167,9.160578736329496,0.4366536345718632,False,False,0.0,0.0,2.094100354005654,0.7644199897380428,3.8252079981746867,1.8400419718767926
110060,Cacaulândia,RO,North,2,724,2.7624309392265194,0.646,6.259367791676579,0.31952108688348824,0.03588624581179944,1.1536099559272703,0.9532726759451319,6.1633098466794545,0.3245009661614725,False,False,0.0,0.0,1.4051512454714439,0.4351830355940795,2.606476723236036,1.3576472860396236
110070,Campo Novo de Rondônia,RO,North,9,1708,5.269320843091335,0.593,15.704782099294055,0.5730738537534091,0.2615053807960754,1.0879349094173951,0.9333514700863723,15.565068680071443,0.578217814838366,False,False,0.0,0.0,3.4302260831047504,1.031193682308776,6.650100449777141,3.243226055011651
110080,Candeias do Jamari,RO,North,34,3807,8.930916732335172,0.649,34.315674820691385,0.9908008563916965,0.686052399225025,1.3845882311829956,0.9973519432848581,33.27430216097666,1.0218095584848785,False,False,0.0,0.05555555555555555,8.140009475778651,2.579044178778037,14.04063913333689,7.008290399131682
110090,Castanheiras,RO,North,5,468,10.683760683760685,0.658,3.9762804933354756,1.25745656232762,0.405239951750006,2.9344419098980947,1.0115192147877519,3.946740068368892,1.2668683301625179,False,False,1.0237195066645244,0.0,0.8929427803373817,0.29080639103313294,1.6543080667419765,0.8727848570486932
110092,Chupinguaia,RO,North,16,1781,8.983717012914093,0.652,15.6241696485195,1.0240544208066835,0.5849596569210336,1.66309242546146,1.003738917706796,16.51452370691932,0.9688441691658511,False,False,0.37583035148050037,0.058823529411764705,3.5984600623001213,1.1260785545759509,6.450011304895884,3.3109812492754966
110094,Cujubim,RO,North,21,2503,8.389932081502197,0.612,22.9960190670255,0.9132015388747161,0.5650715660120118,1.3959912012720663,0.9814995565827735,22.584966516371367,0.9298220559582208,False,False,0.0,0.08695652173913043,5.214878606967394,1.586877568183969,9.592485232426599,4.692532171607044
110100,Governador Jorge Teixeira,RO,North,5,1164,4.295532646048111,0.596,10.830033898470601,0.46167907200235925,0.1487851035712187,1.0773894370544537,0.9390956030209379,10.677244378435804,0.46828561965840204,False,False,0.0,0.16666666666666666,2.367531359660207,0.8047172721112807,4.601445505738686,2.1829176387223144
110110,Itapuã do Oeste,RO,North,6,1169,5.132591958939265,0.614,10.630176353148851,0.5644308994199039,0.20611001523199907,1.2285544873938492,0.9515289098521647,10.517569040150242,0.5704740303672198,False,False,0.0,0.14285714285714285,2.3965384641402947,0.8049240597320458,4.449132559494921,2.1733791122152346
110120,Ministro Andreazza,RO,North,8,939,8.519701810436635,0.638,8.29484084213557,0.9644549126683832,0.4152811023747984,1.9004584652005239,0.9968361036051459,8.161716802867897,0.9801859330856626,False,False,0.0,0.0,1.9014806482086561,0.6167243613457746,3.4357469407399677,1.7420815041628432
110130,Mirante da Serra,RO,North,12,1620,7.407407407407407,0.643,14.164228968718406,0.8472046043947686,0.4372641712960278,1.4799858221858346,0.9781520217512811,13.845478726232601,0.8667089262333681,False,False,0.0,0.14285714285714285,3.239809358026042,0.9710709803372434,5.856435708618932,3.0310265538083963
110140,Monte Negro,RO,North,21,2063,10.179350460494426,0.607,19.002515762258685,1.1051168309886927,0.6838250613139676,1.6893679070437206,1.0192256508203046,18.60840025779099,1.1285225870615982,False,False,1.9974842377413147,0.0,4.274686965374682,1.3762022290473501,7.963821508742873,3.855396929029383
110143,Nova União,RO,North,6,963,6.230529595015576,0.587,9.095117094658146,0.659694640272855,0.24089693263577466,1.4359079409895024,0.9670695210815432,8.76307448810131,0.6846912014894919,False,False,0.0,0.14285714285714285,1.964974803545912,0.7059471026239461,3.8931369741309805,1.8028918560624707
110145,Parecis,RO,North,3,531,5.649717514124294,0.617,4.908116237741774,0.6112324677502546,0.1228521374575896,1.7858917706340283,0.9787520654150935,5.048475042077838,0.5942388493546494,False,False,0.0,0.25,1.0752733331466486,0.3939864529564601,2.0853527452473437,0.9875240831004056
110146,Pimenteiras do Oeste,RO,North,5,464,10.775862068965518,0.665,3.867400889559443,1.2928579536448257,0.41664874195323354,3.0170557587276856,1.012759995310136,4.222417274185308,1.1841558224405289,False,False,1.132599110440557,0.0,0.8574267472082131,0.2706396903661254,1.613175563691729,0.871183397148019
